No,Instansi Pelaporan
223,PT Perusahaan Pengelola Aset (Persero)
224,PT Perusahaan Perdagangan Indonesia
225,PT Pindad (Persero)
226,PT Pos Indonesia (Persero)
227,PT Pupuk Indonesia Holding Company
228,PT Rajawali Nusantara Indonesia
229,PT Reasuransi Indonesia Utama (Persero)
230,PT Sang Hyang Seri
231,PT Sarana Multi Infrastruktur (Persero) (PT SMI)
232,PT Sarinah (Persero)
233,PT Semen Baturaja (Persero)
234,"PT Semen Indonesia (Persero), Tbk."
235,PT Sucofindo
236,PT Surveyor Indonesia (Persero)
237,"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)"
238,PT Varuna Tirta Prakasya (Persero)
239,PT Virama Karya (Persero)
240,"PT Waskita Karya (Persero), Tbk."
241,"PT Wijaya Karya (Persero), Tbk."
242,PT Yodya Karya (Persero)
243,Dewan Perwakilan Rakyat Daerah (DPRD)
244,Perum Perikanan Indonesia
245,PT Nindya Karya
246,PT Surabaya Industrial Estate Rungkut
247,PT Kawasan Industri Lampung
248,PT Pengembangan Armada Niaga Nasional (Persero)
249,PT Survai Udara Penas (Persero)
250,PT Iglas (Persero)
251,PT Kertas Kraft Aceh (Persero)
252,Lembaga Pembiayaan Ekspor Indonesia
253,PT Sarana Multigriya Finansial (Persero)
254,Kantor Staf Presiden
255,Badan Pengelola Keuangan Haji (BPKH)
256,Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS Kesehatan)
257,Badan Penyelenggara Jaminan Sosial Ketenagakerjaan (BPJAMSOSTEK)
258,Bank Indonesia (BI)
259,Lembaga Penjamin Simpanan (LPS)
260,Otoritas Jasa Keuangan (OJK)
261,Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi (SKK Migas)
262,Badan Nasional Pengelola Perbatasan
263,Badan Pengusahaan Kawasan Perdagangan Bebas & Pelabuhan Bebas Sabang
264,Badan Pembinaan Ideologi Pancasila
265,Pemerintah Kabupaten Boalemo
266,Lembaga Penyiaran Publik Radio Republik Indonesia
267,Dewan Jaminan Sosial Nasional
268,Pemerintah Kabupaten Bone Bolango
269,Pemerintah Kabupaten Gorontalo
270,Pemerintah Kabupaten Gorontalo Utara
271,Pemerintah Kabupaten Pohuwato
272,Pemerintah Kota Gorontalo
273,Pemerintah Provinsi Gorontalo
274,Pemerintah Kabupaten Batanghari
275,Pemerintah Kabupaten Bungo
276,Pemerintah Kabupaten Kerinci
277,Pemerintah Kabupaten Merangin
278,Pemerintah Kabupaten Muaro Jambi
279,Pemerintah Kabupaten Sarolangun
280,Pemerintah Kabupaten Tanjung Jabung Barat
281,Pemerintah Kabupaten Tanjung Jabung Timur
282,Pemerintah Kabupaten Tebo
283,Pemerintah Kota Jambi
284,Pemerintah Kota Sungai Penuh
285,Pemerintah Provinsi Jambi
286,Pemerintah Kabupaten Bandung
287,Pemerintah Kabupaten Bandung Barat
288,Pemerintah Kabupaten Bekasi
289,Pemerintah Kabupaten Bogor
290,Pemerintah Kabupaten Ciamis
291,Pemerintah Kabupaten Cianjur
292,Pemerintah Kabupaten Cirebon
293,Pemerintah Kabupaten Garut
294,Pemerintah Kabupaten Indramayu
295,Pemerintah Kabupaten Karawang
296,Pemerintah Kabupaten Kuningan
297,Pemerintah Kabupaten Majalengka
298,Pemerintah Kabupaten Pangandaran
299,Pemerintah Kabupaten Purwakarta
300,Pemerintah Kabupaten Subang
301,Pemerintah Kabupaten Sukabumi
302,Pemerintah Kabupaten Sumedang
303,Pemerintah Kabupaten Tasikmalaya
304,Pemerintah Kota Bandung
305,Pemerintah Kota Banjar
306,Pemerintah Kota Bekasi
307,Pemerintah Kota Bogor
308,Pemerintah Kota Cimahi
309,Pemerintah Kota Cirebon
310,Pemerintah Kota Depok
311,Pemerintah Kota Sukabumi
312,Pemerintah Kota Tasikmalaya
313,Pemerintah Provinsi Jawa Barat
314,PT Indofarma
315,PT Kereta Api Indonesia (Persero) (KAI)
316,"PT Telkom Indonesia (Persero), Tbk."
317,Pemerintah Kabupaten Banjarnegara
318,Pemerintah Kabupaten Banyumas
319,Pemerintah Kabupaten Batang
320,Pemerintah Kabupaten Blora
321,Pemerintah Kabupaten Boyolali
322,Pemerintah Kabupaten Brebes
323,Pemerintah Kabupaten Cilacap
324,Pemerintah Kabupaten Demak
325,Pemerintah Kabupaten Grobogan
326,Pemerintah Kabupaten Jepara
327,Pemerintah Kabupaten Karanganyar
328,Pemerintah Kabupaten Kebumen
329,Pemerintah Kabupaten Kendal
330,Pemerintah Kabupaten Klaten
331,Pemerintah Kabupaten Kudus
332,Pemerintah Kabupaten Magelang
333,Pemerintah Kabupaten Pati
334,Pemerintah Kabupaten Pekalongan
335,Pemerintah Kabupaten Pemalang
336,Pemerintah Kabupaten Purbalingga
337,Pemerintah Kabupaten Purworejo
338,Pemerintah Kabupaten Rembang
339,Pemerintah Kabupaten Semarang
340,Pemerintah Kabupaten Sragen
341,Pemerintah Kabupaten Sukoharjo
342,Pemerintah Kabupaten Tegal
343,Pemerintah Kabupaten Temanggung
344,Pemerintah Kabupaten Wonogiri
345,Pemerintah Kabupaten Wonosobo
346,Pemerintah Kota Magelang
347,Pemerintah Kota Pekalongan
348,Pemerintah Kota Salatiga
349,Pemerintah Kota Semarang
350,Pemerintah Kota Surakarta
351,Pemerintah Kota Tegal
352,Pemerintah Provinsi Jawa Tengah
353,PT Primissima (Persero)
354,Pemerintah Kabupaten Bangkalan
355,Pemerintah Kabupaten Banyuwangi
356,Pemerintah Kabupaten Blitar
357,Pemerintah Kabupaten Bojonegoro
358,Pemerintah Kabupaten Bondowoso
359,Pemerintah Kabupaten Gresik
360,Pemerintah Kabupaten Jember
361,Pemerintah Kabupaten Jombang
362,Pemerintah Kabupaten Kediri
363,Pemerintah Kabupaten Lamongan
364,Pemerintah Kabupaten Lumajang
365,Pemerintah Kabupaten Malang
366,Pemerintah Kabupaten Madiun
367,Pemerintah Kabupaten Magetan
368,Pemerintah Kabupaten Mojokerto
369,Pemerintah Kabupaten Nganjuk
370,Pemerintah Kabupaten Ngawi
371,Pemerintah Kabupaten Pacitan
372,Pemerintah Kabupaten Pamekasan
373,Pemerintah Kabupaten Pasuruan
374,Pemerintah Kabupaten Ponorogo
375,Pemerintah Kabupaten Probolinggo
376,Pemerintah Kabupaten Sampang
377,Pemerintah Kabupaten Sidoarjo
378,Pemerintah Kabupaten Situbondo
379,Pemerintah Kabupaten Sumenep
380,Pemerintah Kabupaten Trenggalek
381,Pemerintah Kabupaten Tuban
382,Pemerintah Kabupaten Tulungagung
383,Pemerintah Kota Batu
384,Pemerintah Kota Blitar
385,Pemerintah Kota Kediri
386,Pemerintah Kota Madiun
387,Pemerintah Kota Malang
388,Pemerintah Kota Mojokerto
389,Pemerintah Kota Pasuruan
390,Pemerintah Kota Probolinggo
391,Pemerintah Kota Surabaya
392,Pemerintah Provinsi Jawa Timur
393,PT Dok Dan Perkapalan Surabaya (Persero)
394,PT Industri Kereta Api (Persero) (INKA)
395,Pemerintah Kabupaten Bengkayang
396,Pemerintah Kabupaten Kapuas Hulu
397,Pemerintah Kabupaten Kayong Utara
398,Pemerintah Kabupaten Ketapang
399,Pemerintah Kabupaten Kubu Raya
400,Pemerintah Kabupaten Landak
401,Pemerintah Kabupaten Melawi
402,Pemerintah Kabupaten Mempawah
403,Pemerintah Kabupaten Sambas
404,Pemerintah Kabupaten Sanggau
405,Pemerintah Kabupaten Sekadau
406,Pemerintah Kabupaten Sintang
407,Pemerintah Kota Pontianak
408,Pemerintah Kota Singkawang
409,Pemerintah Provinsi Kalimantan Barat
410,Pemerintah Kabupaten Balangan
411,Pemerintah Kabupaten Banjar
412,Pemerintah Kabupaten Barito Kuala
413,Pemerintah Kabupaten Hulu Sungai Selatan
414,Pemerintah Kabupaten Hulu Sungai Tengah
415,Pemerintah Kabupaten Hulu Sungai Utara
416,Pemerintah Kabupaten Kotabaru
417,Pemerintah Kabupaten Tabalong
418,Pemerintah Kabupaten Tanah Bumbu
419,Pemerintah Kabupaten Tanah Laut
420,Pemerintah Kabupaten Tapin
421,Pemerintah Kota Banjarbaru
422,Pemerintah Kota Banjarmasin
423,Pemerintah Provinsi Kalimantan Selatan
424,Pemerintah Kabupaten Barito Selatan
425,Pemerintah Kabupaten Barito Timur
426,Pemerintah Kabupaten Barito Utara
427,Pemerintah Kabupaten Gunung Mas
428,Pemerintah Kabupaten Kapuas
429,Pemerintah Kabupaten Katingan
430,Pemerintah Kabupaten Kotawaringin Barat
431,Pemerintah Kabupaten Kotawaringin Timur
432,Pemerintah Kabupaten Lamandau
433,Pemerintah Kabupaten Murung Raya
434,Pemerintah Kabupaten Pulang Pisau
435,Pemerintah Kabupaten Seruyan
436,Pemerintah Kabupaten Sukamara
437,Pemerintah Kota Palangka Raya
438,Pemerintah Provinsi Kalimantan Tengah
439,Pemerintah Kabupaten Berau
440,Pemerintah Kabupaten Kutai Barat
441,Pemerintah Kabupaten Kutai Kartanegara
442,Pemerintah Kabupaten Kutai Timur
443,Pemerintah Kabupaten Mahakam Ulu
444,Pemerintah Kabupaten Paser
445,Pemerintah Kabupaten Penajam Paser Utara
446,Pemerintah Kota Balikpapan
447,Pemerintah Kota Bontang
448,Pemerintah Kota Samarinda
449,Pemerintah Provinsi Kalimantan Timur
450,Pemerintah Kabupaten Bulungan
451,Pemerintah Kabupaten Malinau
452,Pemerintah Kabupaten Nunukan
453,Pemerintah Kabupaten Tana Tidung
454,Pemerintah Kota Tarakan
455,Pemerintah Provinsi Kalimantan Utara
456,Pemerintah Provinsi Kepulauan Bangka Belitung
457,Pemerintah Kabupaten Bintan
458,Pemerintah Kabupaten Karimun
459,Pemerintah Kabupaten Kepulauan Anambas
460,Pemerintah Kabupaten Lingga
461,Pemerintah Kabupaten Natuna
462,Pemerintah Kota Batam
463,Pemerintah Kota Tanjung Pinang
464,Pemerintah Provinsi Kepulauan Riau
465,Pemerintah Kabupaten Lampung Barat
466,Pemerintah Kabupaten Lampung Selatan
467,Pemerintah Kabupaten Lampung Tengah
468,Pemerintah Kabupaten Lampung Timur
469,Pemerintah Kabupaten Lampung Utara
470,Pemerintah Kabupaten Mesuji
471,Pemerintah Kabupaten Pesawaran
472,Pemerintah Kabupaten Pesisir Barat
473,Pemerintah Kabupaten Pringsewu
474,Pemerintah Kabupaten Tanggamus
475,Pemerintah Kabupaten Tulang Bawang
476,Pemerintah Kabupaten Tulang Bawang Barat
477,Pemerintah Kabupaten Way Kanan
478,Pemerintah Kota Bandar Lampung
479,Pemerintah Kota Metro
480,Pemerintah Provinsi Lampung
481,Pemerintah Kabupaten Buru
482,Pemerintah Kabupaten Buru Selatan
