,reference
317,Pemkot Singkawang
318,Pemerintah Singkawang
319,Pemprov Kalimantan Barat
320,Pemerintah Kalimantan Barat
321,Pemprov Kalbar
322,Pemkab Balangan
323,Pemerintah Balangan
324,Pemkab Hulu Sungai Selatan
325,Pemerintah Hulu Sungai Selatan
326,Pemkab Hulu Sungai Tengah
327,Pemerintah Hulu Sungai Tengah
328,Pemkab Hulu Sungai Utara
329,Pemerintah Hulu Sungai Utara
330,Pemkab Tabalong
331,Pemerintah Tabalong
332,Pemkab Aceh Barat
333,Pemkab Aceh Barat Daya
334,Pemkab Aceh Jaya
335,Pemkab Aceh Selatan
336,Pemkab Aceh Tengah
337,Pemkab Alor
338,Pemkab Asmat
339,Pemkab Barito Selatan
340,Pemkab Barito Utara
341,Pemkab Belu
342,Pemkab Biak Numfor
343,Pemkab Bima
344,Pemkab Bintan
345,Pemkab Bireuen
346,Pemkab Boven Digul
347,Pemerintah Kabupaten Boven Digul
348,Pemkab Boven Digoel
349,Pemkab Bulungan
350,Pemkab Buru
351,Pemkab Buru Selatan
352,Pemkab Deiyai
353,Pemkab Dogiyai
354,Pemkab Dompu
355,Pemkab Ende
356,Pemkab Fak Fak
357,Pemerintah Kabupaten Fakfak
358,Pemkab Fakfak
359,Pemkab Gayo Lues
360,Pemkab Gunung Mas
361,Pemkab Halmahera Selatan
362,Pemkab Halmahera Tengah
363,Pemkab Halmahera Utara
364,Pemkab Intan Jaya
365,Pemkab Kapuas
366,Pemkab Keerom
367,Pemkab Kepulauan Aru
368,Pemkab Aru
369,Pemerintah Kabupaten Aru
370,Pemerintah Kabupaten Sula
371,Pemkab Kepulauan Sula
372,Pemkab Sula
373,Pemkab Yapen
374,Pemerintah Kabupaten Yapen
375,Pemkab Kepulauan Yapen
376,Pemkab Kotawaringin Barat
377,Pemkab Kotawaringin Timur
378,Pemkab Kupang
379,Pemkab Kutai Barat
380,Pemkab Kutai Kartanegara
381,Pemkab Kutai Timur
382,Pemkab Lamandau
383,Pemkab Lampung Barat
384,Pemkab Lampung Selatan
385,Pemkab Lampung Utara
386,Pemkab Lanny Jaya
387,Pemkab Lombok Tengah
388,Pemkab Lombok Timur
389,Pemkab Mahakam Ulu
390,Pemkab Malinau
391,Pemkab Maluku Barat Daya
392,Pemkab Maluku Tengah
393,Pemkab Mamberamo Raya
394,Pemkab Mamberamo Tengah
395,Pemkab Manggarai
396,Pemkab Manggarai Barat
397,Pemkab Manggarai Timur
398,Pemkab Manokwari
399,Pemkab Manokwari Selatan
400,Pemkab Mappi
401,Pemkab Mesuji
402,Pemkab Mimika
403,Pemkab Murung Raya
404,Pemkab Nabire
405,Pemkab Nagekeo
406,Pemkab Natuna
407,Pemkab Nduga
408,Pemkab Nunukan
409,Pemkab Paniai
410,Pemkab Pegunungan Bintang
411,Pemkab Penajam Paser Utara
412,Pemerintah Kabupaten Penajam Paser
413,Pemkab Penajam Paser
414,Pemkab PPU
415,Pemerintah Kabupaten PPU
416,Pemkab Pesawaran
417,Pemkab Pesisir Barat
418,Pemkab Pidie
419,Pemkab Pulang Pisau
420,Pemkab Pulau Morotai
421,Pemkab Morotai
422,Pemerintah Kabupaten Morotai
423,Pemkab Puncak
424,Pemkab Puncak Jaya
425,Pemkab Rote Ndao
426,Pemkab Sabu Raijua
427,Pemerintah Kabupaten Sabu-Raijua
428,Pemkab Sabu-Raijua
429,Pemkab Seram Bagian Barat
430,Pemkab Seram Barat
431,Pemerintah Kabupaten Seram Barat
432,Pemkab Seram Bagian Timur
433,Pemkab Seram Timur
434,Pemerintah Kabupaten Seram Timur
435,Pemkab Seruyan
436,Pemkab Simeulue
437,Pemkab Sukamara
438,Pemkab Sumba Tengah
439,Pemkab Sumba Timur
440,Pemkab Sumbawa
441,Pemkab Sumbawa Barat
442,Pemkab Supiori
443,Pemkab Tana Tidung
444,Pemerintah KTT
445,Pemkab Tanah Bumbu
446,Pemkab Tanggamus
447,Pemkab Tapin
448,Pemerintah Kabupaten Timteng Utara
449,Pemkab Timor Tengah Utara
450,Pemkab TTU
451,Pemerintah Kabupaten TTU
452,Pemkab Timteng Utara
453,Pemkab Tolikara
454,Pemerintah Kabupaten Tubaba
455,Pemkab Tubaba
456,Pemkab Tulang Bawang Barat
457,Pemkab Waropen
458,Pemkab Way Kanan
459,Pemkab Yahukimo
460,Pemkab Yalimo
461,Pemkot Ambong
462,Pemerintah Kota Ambong
463,Pemkot Ambon
464,Pemkot Balikpapan
465,Pemkot Bandarlampung
466,Pemerintah Kota Bandarlampung
467,Pemkot Bandar Lampung
468,Pemkot Banjarbaru
469,Pemkot Banjarmasin
470,Pemerintah Kota Banjarmasih
471,Pemkot Banjarmasih
472,Pemkot Batam
473,Pemkot Bima
474,Pemkot Bontang
475,Pemkot Jayapura
476,Pemkot Kupang
477,Pemkot Langsa
478,Pemkot Mataram
479,Pemkot Metro
480,Pemkot Palangkaraya
481,Pemkot Palangka Raya
482,Pemerintah Kota Palangkaraya
483,Pemkot Samarinda
484,Pemkot Subulussalam
485,Pemkot Tanjungpinang
486,Pemerintah Kota Tanjungpinang
487,Pemkot Tanjung Pinang
488,Pemkot Tarakan
489,Pemkot Ternate
490,Pemkot Tual
491,Pemprov Kalteng
492,Pemerintah Provinsi Kalteng
493,Pemprov Kalimantan Tengah
494,Pemerintah Provinsi Kaltara
495,Pemprov Kaltara
496,Pemprov Kalimantan Utara
497,Pemprov Kepulauan Babel
498,Pemerintah Provinsi Kepulauan Babel
499,Pemerintah Provinsi Babel
500,Pemprov Babel
501,Pemprov Bangka Belitung
502,Pemerintah Provinsi Bangka Belitung
503,Pemprov Kepulauan Bangka Belitung
504,Pemprov Kepulauan Riau
505,Pemprov Kepri
506,Pemerintah Provinsi Kepri
507,Pemprov Lampung
508,Pemprov Maluku
509,Pemprov NTB
510,Pemerintah Provinsi NTB
511,Pemprov Nusa Tenggara Barat
512,Pemerintah Provinsi NTT
513,Pemprov NTT
514,Pemprov Nusa Tenggara Timur
515,Pemprov Papua
516,Perusahaan Umum DAMRI
517,Perum DAMRI UABK Bandung
518,PT Jamkrindo
519,PT Jamkrindo Cabang Bandung
520,Jasa Tirta
521,Jasa Tirta I
522,Lembaga Kantor Berita Nasional Antara Biro Jawa Barat
523,Perum LKBN Antara
524,Perusahaan Umum Pembangunan Perumahan Nasional
525,Perum Perumnas
526,Perum Peruri
527,Peruri
528,Perum PFN
529,Perusahaan Umum Produksi Film Negara
530,PT Adhi Karya
531,Adhi Karya
532,PT AMKA
533,Amarta Karya
534,Angkasa Pura
535,AP1
536,Angkasa Pura 2
537,AP2
538,PT Asabri (Persero)
539,Perseta Asabri Pensiunan Polri
540,PT ASDP Ferry Indonesia
541,ASDP
542,Asuransi Jasindo
543,Asuransi Jasa Indonesia
544,Asuransi Jiwasraya
545,Jiwasraya
546,Askrindo
547,PT Askrindo
548,Indonesia Financial Group (IFG)
549,BPUI
550,Bank Mandiri
551,Bank Mandiri Cihampelas
552,Bank BNI Kantor Cabang Karawang
553,BNI 46
554,Bank Rakyat Indonesia Cabang Sintang
555,Bank BRI Unit Prambanan
556,Bank BTN Jayapura
557,BTN Pluit
558,Barata Indonesia
559,PT Barata Indonesia
560,Berdikari
561,PT Berdikari
562,PT BGR Logistik Indonesia
563,BGR
564,Bina Karya
565,Bina Karya Persero
566,PT Bio Farma Bandung
567,Bio Farma
568,BKI
569,PT Biro Klasifikasi Indonesia (Persero) Cabang Cirebon
570,BBI
571,PT Boma Bisma Indra (Persero) Cabang Jakarta
572,PTDI
573,PT Dirgantara Indonesia
574,Garuda Indonesia
575,PT Garuda Indonesia
576,Emipersero
577,PT EMI
578,Garam
579,PT Garam (Persero)
580,Hutama Karya
581,HK
582,Indah Karya
583,PT Indah Karya
584,PT Inalum
585,PT Indonesia Asahan Aluminium (Persero)
586,Indra Karya
587,PT Indra Karya
588,PT IKI (Persero)
589,Industri Kapal Indonesia
590,PT INUKI (Persero)
591,Industri Nuklir Indonesia
592,PT ISN (Persero)
593,Industri Sandang Nusantara
594,PT INTI (Persero)
595,INTI
596,Istaka Karya
597,PT Istaka Karya
598,Jasa Marga
599,PT Jasa Marga Cabang Purbaleunyi
600,PT KIW
601,Kawasan Industri Wijayakusuma
602,PT KBI
603,Kliring Berjangka Indonesia
604,Krakatau Steel
605,PT Krakatau Steel
606,Len Industri
607,Len
608,PAL Indonesia
609,PT PAL
610,PT PANN
611,PANN Pembiayaan Maritim
612,Pelindo II
613,Pelabuhan Indonesia II
614,Pelabuhan Indonesia IV
615,Pelindo IV
616,PT Balai Pustaka
617,Balai Pustaka
618,ITDC
619,Pengembangan Pariwisata Indonesia
620,PT PDI Batam
621,PT Persero Batam
622,PT PII
623,PT PII Persero
624,PT Perinus
625,PT Perinus (Persero)
626,PT. Perkebunan Nusantara III (Persero)
627,PTPN III
628,PT PNM
629,PT PNM (Persero)
630,Pertamina
631,PT Pertamina
632,PGN
633,Perusahaan Gas Negara
634,PLN
635,Perusahaan Listrik Negara
636,Pindad
637,PT Pindad
638,Pos Indonesia
639,PT Pos Indonesia KC Cirebon
640,Pupuk Indonesia
641,PT Pupuk Indonesia (Persero)
642,PT Rajawali Nusindo
643,ID FOOD
644,Indonesia Re
645,Reasuransi Indonesia Utama
646,SHS
647,PT Sang Hyang Seri Cabang Sidrap
648,PT SMI
649,Sarana Multi Infrastruktur
650,Sarinah
651,PT Sarinah
652,PT Superintending Company of Indonesia
653,Sucofindo
654,Surveyor Indonesia
655,PTSI
656,PT Kawasan Industri Lampung
657,PT Pengembangan Armada Niaga Nasional
658,PT Survai Udara Penas
659,PT Aviasi Pariwisata Indonesia
660,PT Kertas Kraft Aceh
661,PT KKA
662,PT Sarana Multigriya Finansial
663,SMF-Indonesia
664,PT Primissima 
665,Primissima Batik
666,PT Dok Dan Perkapalan Surabaya
667,PT DPS
668,PT Industri Kereta Api
669,PT INKA
670,INKA
671,Kementerian PPN/Bappenas
672,Bappenas
673,Kemensos
674,Kemensos RI
675,Badan Nasional Penanggulangan Terorisme Kabupaten Bekasi 
676,BNPT Kota Bogor
677,Bapeten
678,Badan Pengawas Tenaga Nuklir
679,LPP TVRI
680,Lembaga Penyiaran Publik
681,LPSK RI
682,Lembaga Perlindungan Saksi dan Korban RI
683,BPKS
684,Pemkab Gorontalo
685,Pemerintah Gorontalo
686,Pemkab Batanghari
687,Pemerintah Batanghari
688,Pemkab Merangin
689,Pemerintah Merangin
690,Pemkab Sarolangun
691,Pemerintah Sarolangun
692,Pemkaot Jambi
693,Pemkab Sungai Penuh
694,Pemerintah Sungai Penuh
695,Pemkab Tasikmalaya
696,Pemerintah Tasikmalaya
697,Pemkot Cirebon
698,Pemkab Kudus
699,Pemerintah Kudus
700,Pemkab Pati
701,Pemerintah Pati
702,Pemkab Temanggung
703,Pemerintah Temanggung
704,Pemkot Magelang
705,Pemkot Surakarta
706,Pemerintah Surakarta
707,Pemkot Tegal
708,Pemkab Nganjuk
709,Pemerintah Nganjuk
710,Pemkot Probolinggo
711,Pemkot Surabaya
712,Pemerintah Surabaya
713,Pemkab Sintang
