,Kata,Index
747,Banten,[894]
748,PPD,[895]
749,Pengangkutan,[896]
750,Penumpang,[896]
751,Djakarta,"[896, 903, 904]"
752,Brantas,"[897, 898]"
753,Abipraya,"[897, 898]"
754,Dahana,"[899, 900]"
755,Danareksa,"[901, 902]"
756,Lloyd,"[903, 904]"
757,DKB,[905]
758,Kodja,[906]
759,Bahari,[906]
760,Geo,"[907, 908]"
761,Dipa,"[907, 908]"
762,Energi,"[907, 908]"
763,Jiep,[909]
764,Ecogreen,[909]
765,JIEP,[910]
766,Raharja,"[911, 912]"
767,KBN,[913]
768,Berikat,[914]
769,Kimia,"[915, 916]"
770,Tbk,[916]
771,Pelayaran,[921]
772,PELNI,[922]
773,TWC,[927]
774,Taman,[928]
775,Wisata,[928]
776,Candi,[928]
777,VTP,[929]
778,Varuna,[930]
779,Prakasya,[930]
780,Indofarma,"[931, 932, 933, 935]"
781,TBK,[931]
782,Global,"[932, 933]"
783,Medika,"[932, 933]"
784,IGM,[934]
785,Telkom,[936]
