,reference
965,pt bhanda ghara reksa persero
966,pt bina karya persero
967,pt bio farma persero
968,pt biro klasifikasi indonesia persero
969,pt boma bisma indra persero
970,pt brantas abipraya persero
971,pt dahana persero
972,pt dana tabungan dan asuransi pegawai negeri   taspen persero
973,pt danareksa persero
974,pt dirgantara indonesia persero
975,pt djakarta lloyd persero
976,pt garuda indonesia persero tbk
977,pt dok dan perkapalan kodja bahari persero
978,pt energi management indonesia persero
979,pt geodipa energi
980,pt hotel indonesia natour persero
981,pt hutama karya persero
982,pt indra karya persero
983,pt indonesia asahan alumunium persero inalum
984,pt indah karya persero
985,pt industri kapal indonesia persero
986,pt industri nuklir indonesia persero
987,pt industri sandang nusantara persero
988,pt industri telekomunikasi indonesia persero
989,pt istaka karya persero
990,pt jakarta industrial estate pulogadung
991,pt jasa marga persero tbk
992,pt asuransi jasa raharja persero
993,pt kawasan berikat nusantara persero
994,pt kawasan industri wijayakusuma persero
995,pt kimia farma persero tbk
996,pt kliring berjangka indonesia persero
997,pt krakatau steel persero tbk
998,pt len industri persero
999,pt pal indonesia persero
1000,pt pann pembiayaan maritim persero
1001,pt pegadaian persero
1002,pt pelabuhan indonesia persero
1003,pt pelayaran nasional indonesia persero pelni
1004,pt pembangunan perumahan persero
1005,pt penerbitan dan percetakan balai pustaka persero
1006,pt pengembangan pariwisata indonesia persero
1007,pt pengusahaan daerah industri pulau batam persero
1008,pt penjaminan infrastruktur indonesia persero
1009,pt perikanan nusantara persero
1010,pt perkebunan nusantara iii
1011,pt permodalan nasional madani persero
1012,pt pertamina persero
1013,pt pertani persero
1014,pt perusahaan gas negara persero tbk
1015,pt perusahaan listrik negara persero pln
1016,pt perusahaan pengelola aset persero
1017,pt perusahaan perdagangan indonesia persero
1018,pt pindad persero
1019,pt pos indonesia persero
1020,pt pupuk indonesia holding company
1021,pt rajawali nusantara indonesia persero
1022,pt reasuransi indonesia utama persero
1023,pt sang hyang seri persero
1024,pt sarana multi infrastruktur persero pt smi
1025,pt sarinah persero
1026,pt semen baturaja persero
1027,pt semen indonesia persero tbk
1028,pt sucofindo
1029,pt surveyor indonesia persero
1030,pt taman wisata candi borobudur prambanan dan ratu boko persero
1031,pt varuna tirta prakasya persero
1032,pt virama karya persero
1033,pt waskita karya persero tbk
1034,pt wijaya karya persero tbk
1035,pt yodya karya persero
1036,perum perikanan indonesia
1037,pt nindya karya persero
1038,pt surabaya industrial estate rungkut
1039,pt pengembangan armada niaga nasional persero
1040,pt survai udara penas persero
1041,pt iglas persero
1042,pt kertas kraft aceh persero
1043,lembaga pembiayaan ekspor indonesia
1044,pt sarana multigriya finansial persero
1045,pt indofarma persero tbk
1046,pt kereta api indonesia persero kai
1047,pt telekomunikasi indonesia persero tbk
1048,pt primissima persero
1049,pt dok dan perkapalan surabaya persero
1050,pt industri kereta api persero inka
1051,pt semen kupang persero
1052,pt kawasan industri makasar persero
1053,pt kawasan industri medan persero
1054,pemerintah kabupaten badung
1055,pemerintah kabupaten bangli
1056,pemerintah kabupaten buleleng
1057,pemerintah kabupaten gianyar
1058,pemerintah kabupaten jembrana
1059,pemerintah kabupaten karangasem
1060,pemerintah kabupaten klungkung
1061,pemerintah kabupaten tabanan
1062,pemerintah kota denpasar
1063,pemerintah provinsi bali
1064,pemerintah kabupaten bangka
1065,pemerintah kabupaten bangka barat
1066,pemerintah kabupaten bangka selatan
1067,pemerintah kabupaten bangka tengah
1068,pemerintah kabupaten belitung
1069,pemerintah kabupaten belitung timur
1070,pemerintah kota pangkalpinang
1071,pemerintah kabupaten lebak
1072,pemerintah kabupaten pandeglang
1073,pemerintah kabupaten serang
1074,pemerintah kabupaten tangerang
1075,pemerintah kota cilegon
1076,pemerintah kota serang
1077,pemerintah kota tangerang
1078,pemerintah kota tangerang selatan
1079,pemerintah provinsi banten
1080,pemerintah kabupaten bengkulu selatan
1081,pemerintah kabupaten bengkulu tengah
1082,pemerintah kabupaten bengkulu utara
1083,pemerintah kabupaten kaur
1084,pemerintah kabupaten kepahiang
1085,pemerintah kabupaten lebong
1086,pemerintah kabupaten muko muko
1087,pemerintah kabupaten rejang lebong
1088,pemerintah kabupaten seluma
1089,pemerintah kota bengkulu
1090,pemerintah provinsi bengkulu
1091,pemerintah kabupaten bantul
1092,pemerintah kabupaten gunung kidul
1093,pemerintah kabupaten kulonprogo
1094,pemerintah kabupaten sleman
1095,pemerintah kota yogyakarta
1096,pemerintah provinsi di yogyakarta
1097,kementerian agama
1098,kementerian agraria dan tata ruang badan pertahanan nasional bpn
1099,kementerian dalam negeri
1100,kementerian desa pembangunan daerah tertinggal dan transmigrasi
1101,kementerian energi dan sumber daya mineral esdm
1102,kementerian hukum dan hak asasi manusia
